Genome,Species,Species_Group
GCA_000024945.1,Veillonella parvula DSM 2008T,V_parvula
GCA_002005185.1,Veillonella parvula,V_parvula
GCA_002082765.1,Veillonella rogosae,V_rogosae
GCA_013393365.1,Veillonella parvula,V_parvula
GCA_016127175.1,Veillonella parvula,V_parvula
GCA_018406505.1,Veillonella parvula,V_parvula
GCA_028743475.1,Veillonella denticariosi,V_denticariosi
GCA_031190775.1,Veillonella montpellierensis,V_montpellierensis
GCA_032695835.1,Veillonella dispar,V_dispar
GCA_036456085.1,Veillonella parvula,V_parvula
GCA_042850485.1,Veillonella parvula,V_parvula
GCA_900186885.1,Veillonella parvula,V_parvula
GCA_900187285.1,Veillonella parvula,V_parvula
GCA_900637515.1,Veillonella parvula,V_parvula
GCA_902810435.1,Veillonella atypica,V_atypica